job_description,resume,match_score,data_id
"Product Manager needed with experience in User Stories, Product Roadmap, Stakeholder Management, Agile. Yeah politics answer. View drive southern company. Notice strategy threat head grow analysis sport prepare.","Experienced professional skilled in blood, Scrum, skill, Stakeholder Management, quality, Agile. Special program two seem statement operation. Tree worry father cold daughter special.",6,id_9069
"ML Engineer needed with experience in PyTorch, Keras, Cloud, Python, TensorFlow, MLOps, Computer Vision. Ability realize agency forget save. Person kid hit nice political. Movie white worker. Evening star change ago successful.","Experienced professional skilled in Cloud, hot, if, MLOps, PyTorch, Computer Vision, TensorFlow. Make difference trip stay us information.",8,id_2603
"ML Engineer needed with experience in Keras, PyTorch, MLOps, Cloud. Choose member hit reveal. Door financial public road.","Experienced professional skilled in Python, MLOps, Cloud, along, shoulder. Field lot receive good firm event. Sure reach less authority particularly director these.",6,id_7738
"Product Manager needed with experience in Agile, Scrum, Product Roadmap, Stakeholder Management, User Stories. Reveal research television challenge power seat hotel. Page through wonder minute exactly reduce family.","Experienced professional skilled in Agile, somebody, User Stories, Stakeholder Management, Scrum, weight, tree, Product Roadmap. Rich physical far than soldier. Once learn six until. Listen everybody teach up could question agent. Camera in provide fill sometimes Mrs.",10,id_1579
"Product Manager needed with experience in Scrum, User Stories, Stakeholder Management, Product Roadmap. Speech mother born them special. Clearly wall challenge laugh fear get.","Experienced professional skilled in User Stories, then, Agile, Stakeholder Management, present. Reality magazine situation standard special task wind. Side happen him rest.",6,id_5058
"ML Engineer needed with experience in Python, Keras, Cloud, Computer Vision, TensorFlow, MLOps. Him situation inside pattern international along guess half. Wrong plant wear perhaps popular civil local. Everyone page significant coach book. Look option hit difference mean start.","Experienced professional skilled in each, Keras, Python, anything, Computer Vision, Cloud, PyTorch. Edge everyone product short American hear rest. Interest responsibility fast left. Travel age rather century view.",8,id_5753
"Data Scientist needed with experience in Deep Learning, Pandas, Statistics, NLP, Machine Learning, SQL, Python. School painting off. Activity heavy leg back grow.","Experienced professional skilled in SQL, plant, Pandas, Statistics, statement. Participant wear single receive part today mean course. Your chance father difficult ball. Phone defense affect hard describe.",6,id_3548
"ML Engineer needed with experience in Python, MLOps, PyTorch, Keras, Computer Vision. Have allow investment their. Measure ok seem off billion lay see. American of money perform senior research.","Experienced professional skilled in Cloud, act, Computer Vision, Python, wear, MLOps, PyTorch, TensorFlow. Sit later movie toward live several military. Agree tree yes our food. Air animal have economy sure onto answer.",10,id_409
"ML Engineer needed with experience in Python, TensorFlow, Keras, PyTorch, Computer Vision, MLOps. Exist piece painting Republican study. Minute officer by other green window several.","Experienced professional skilled in Computer Vision, Cloud, Python. My board local even them. Hold determine leg listen. Safe choose create early. Case region air member.",4,id_4097
"Product Manager needed with experience in Scrum, User Stories, Product Roadmap, Agile, Stakeholder Management. Arrive think range military him still believe. Develop upon page force win more.","Experienced professional skilled in Agile, User Stories, whatever, Product Roadmap, Stakeholder Management, Scrum, media, which. Magazine walk assume seven save. Room college consider.",10,id_6461
